[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[16:09:46.816] epoch: 0/200, iter: 67/3469: loss:1.3087: rank:-1
[16:09:48.756] epoch: 0/200, iter: 68/3469: loss:0.7222: rank:-1
[16:09:50.597] epoch: 0/200, iter: 69/3469: loss:0.5275: rank:-1
[16:10:15.311] epoch: 0/200, iter: 70/3469: loss:1.0424: rank:-1
[16:10:17.208] epoch: 0/200, iter: 71/3469: loss:0.7555: rank:-1
[16:11:14.084] epoch: 0/200, iter: 72/3469: loss:1.0937: rank:-1
[16:11:19.953] epoch: 0/200, iter: 73/3469: loss:0.9902: rank:-1
[16:11:22.049] epoch: 0/200, iter: 74/3469: loss:1.1629: rank:-1
[16:11:56.743] epoch: 0/200, iter: 75/3469: loss:0.987: rank:-1
[16:11:58.776] epoch: 0/200, iter: 76/3469: loss:0.997: rank:-1
[16:12:33.514] epoch: 0/200, iter: 77/3469: loss:1.0256: rank:-1
[16:12:35.431] epoch: 0/200, iter: 78/3469: loss:0.5718: rank:-1
[16:12:37.356] epoch: 0/200, iter: 79/3469: loss:0.4816: rank:-1
[16:12:41.179] epoch: 0/200, iter: 80/3469: loss:0.8342: rank:-1
[16:12:58.648] epoch: 0/200, iter: 81/3469: loss:1.0069: rank:-1
[16:13:08.653] epoch: 0/200, iter: 82/3469: loss:1.0691: rank:-1
[16:13:14.422] epoch: 0/200, iter: 83/3469: loss:0.8412: rank:-1
[16:13:16.267] epoch: 0/200, iter: 84/3469: loss:0.5888: rank:-1
[16:13:52.888] epoch: 0/200, iter: 85/3469: loss:1.0817: rank:-1
[16:14:10.221] epoch: 0/200, iter: 86/3469: loss:1.0816: rank:-1
[16:14:13.951] epoch: 0/200, iter: 87/3469: loss:1.7431: rank:-1
[16:14:15.813] epoch: 0/200, iter: 88/3469: loss:1.0276: rank:-1
[16:14:19.529] epoch: 0/200, iter: 89/3469: loss:1.2116: rank:-1
[16:14:29.247] epoch: 0/200, iter: 90/3469: loss:1.023: rank:-1
[16:14:31.230] epoch: 0/200, iter: 91/3469: loss:0.8227: rank:-1
[16:14:37.090] epoch: 0/200, iter: 92/3469: loss:0.9383: rank:-1
[16:14:38.922] epoch: 0/200, iter: 93/3469: loss:0.7485: rank:-1
[16:14:46.492] epoch: 0/200, iter: 94/3469: loss:1.1316: rank:-1
[16:15:03.654] epoch: 0/200, iter: 95/3469: loss:1.0273: rank:-1
[16:15:05.778] epoch: 0/200, iter: 96/3469: loss:0.7285: rank:-1
[16:15:23.457] epoch: 0/200, iter: 97/3469: loss:1.0124: rank:-1
[16:15:25.388] epoch: 0/200, iter: 98/3469: loss:0.6746: rank:-1
[16:15:44.904] epoch: 0/200, iter: 99/3469: loss:0.8514: rank:-1
[16:15:46.849] epoch: 0/200, iter: 100/3469: loss:0.8963: rank:-1
[16:16:19.929] epoch: 0/200, iter: 101/3469: loss:0.9944: rank:-1
[16:16:21.849] epoch: 0/200, iter: 102/3469: loss:0.5413: rank:-1
[16:16:25.486] epoch: 0/200, iter: 103/3469: loss:0.6083: rank:-1
[16:16:29.420] epoch: 0/200, iter: 104/3469: loss:1.4329: rank:-1
[16:16:46.748] epoch: 0/200, iter: 105/3469: loss:0.9604: rank:-1
[16:17:02.170] epoch: 0/200, iter: 106/3469: loss:1.1796: rank:-1
[16:17:04.003] epoch: 0/200, iter: 107/3469: loss:0.5027: rank:-1
[16:17:05.858] epoch: 0/200, iter: 108/3469: loss:0.5739: rank:-1
[16:17:07.848] epoch: 0/200, iter: 109/3469: loss:0.6933: rank:-1
[16:17:20.825] epoch: 0/200, iter: 110/3469: loss:1.0373: rank:-1
[16:17:28.525] epoch: 0/200, iter: 111/3469: loss:1.1201: rank:-1
[16:17:30.471] epoch: 0/200, iter: 112/3469: loss:0.7471: rank:-1
[16:17:59.911] epoch: 0/200, iter: 113/3469: loss:1.1448: rank:-1
[16:18:11.647] epoch: 0/200, iter: 114/3469: loss:0.8148: rank:-1
[16:18:13.697] epoch: 0/200, iter: 115/3469: loss:0.6151: rank:-1
[16:18:15.623] epoch: 0/200, iter: 116/3469: loss:0.6283: rank:-1
[16:18:32.862] epoch: 0/200, iter: 117/3469: loss:0.9216: rank:-1
[16:18:42.894] epoch: 0/200, iter: 118/3469: loss:0.8644: rank:-1
[16:18:44.844] epoch: 0/200, iter: 119/3469: loss:0.5623: rank:-1
[16:18:52.095] epoch: 0/200, iter: 120/3469: loss:0.6669: rank:-1
[16:19:09.055] epoch: 0/200, iter: 121/3469: loss:1.0524: rank:-1
[16:19:11.092] epoch: 0/200, iter: 122/3469: loss:0.4726: rank:-1
[16:19:46.785] epoch: 0/200, iter: 123/3469: loss:0.6833: rank:-1
[16:19:54.750] epoch: 0/200, iter: 124/3469: loss:1.0145: rank:-1
[16:19:56.742] epoch: 0/200, iter: 125/3469: loss:0.4051: rank:-1
[16:20:06.768] epoch: 0/200, iter: 126/3469: loss:1.8839: rank:-1
[16:20:08.713] epoch: 0/200, iter: 127/3469: loss:0.8503: rank:-1
[16:20:38.491] epoch: 0/200, iter: 128/3469: loss:0.599: rank:-1
[16:21:17.108] epoch: 0/200, iter: 129/3469: loss:1.2049: rank:-1
[16:21:19.100] epoch: 0/200, iter: 130/3469: loss:0.5803: rank:-1
[16:21:20.779] epoch: 0/200, iter: 131/3469: loss:0.469: rank:-1
[16:21:22.714] epoch: 0/200, iter: 132/3469: loss:0.7111: rank:-1
[16:21:37.938] epoch: 0/200, iter: 133/3469: loss:1.0747: rank:-1
[16:21:39.912] epoch: 0/200, iter: 134/3469: loss:0.5427: rank:-1
[16:21:41.715] epoch: 0/200, iter: 135/3469: loss:0.8381: rank:-1
